epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,1156.96,1.30754,0.86457,1.23871,0.82799,0.88488,0.93662,0.61563,1.20675,0.7398,1.22215,0.000994064,0.000994064,0.000994064
103,1168.95,1.26366,0.84044,1.23131,0.87498,0.88693,0.93954,0.63607,1.17551,0.68409,1.21668,0.000992907,0.000992907,0.000992907
104,1180.43,1.27519,0.82474,1.23213,0.89419,0.93098,0.94792,0.64358,1.17182,0.67574,1.20116,0.000991749,0.000991749,0.000991749
105,1191.98,1.28342,0.84263,1.23203,0.8529,0.9213,0.94306,0.62171,1.19007,0.67496,1.21805,0.000990591,0.000990591,0.000990591
106,1203.41,1.31801,0.86963,1.24499,0.82978,0.88132,0.9268,0.58626,1.24237,0.7025,1.24715,0.000989433,0.000989433,0.000989433
107,1214.88,1.29375,0.8748,1.2396,0.85818,0.90497,0.9304,0.61951,1.23992,0.70343,1.24274,0.000988275,0.000988275,0.000988275
108,1226.4,1.28031,0.84974,1.22183,0.8646,0.91735,0.95483,0.65784,1.14004,0.64138,1.20449,0.000987118,0.000987118,0.000987118
109,1237.89,1.27936,0.81224,1.24699,0.86939,0.92434,0.95526,0.65618,1.15954,0.66038,1.21763,0.00098596,0.00098596,0.00098596
110,1249.25,1.257,0.81902,1.2133,0.88782,0.91657,0.95674,0.65171,1.16654,0.65479,1.20871,0.000984802,0.000984802,0.000984802
111,1261.25,1.28403,0.85124,1.22396,0.88919,0.8875,0.95525,0.65785,1.1393,0.66587,1.19289,0.000983644,0.000983644,0.000983644
112,1273.02,1.26815,0.8454,1.21934,0.83558,0.91178,0.95264,0.65053,1.14926,0.67281,1.19995,0.000982487,0.000982487,0.000982487
113,1284.47,1.25197,0.81633,1.20101,0.91705,0.93393,0.96399,0.65951,1.12864,0.62902,1.19455,0.000981329,0.000981329,0.000981329
114,1296.06,1.25901,0.82593,1.22688,0.89178,0.88886,0.95508,0.64584,1.1833,0.6532,1.2177,0.000980171,0.000980171,0.000980171
115,1307.54,1.23082,0.84266,1.22076,0.86622,0.93239,0.95947,0.66344,1.12559,0.64607,1.19651,0.000979013,0.000979013,0.000979013
116,1319.11,1.22752,0.83481,1.20726,0.85676,0.90548,0.95186,0.63957,1.18935,0.66334,1.22462,0.000977855,0.000977855,0.000977855
117,1330.54,1.2996,0.83494,1.24288,0.86022,0.91509,0.94904,0.66402,1.11298,0.62817,1.17423,0.000976698,0.000976698,0.000976698
118,1342.14,1.21236,0.83045,1.22316,0.89612,0.90837,0.95035,0.65403,1.14252,0.67028,1.18882,0.00097554,0.00097554,0.00097554
119,1353.71,1.23985,0.83885,1.20482,0.87496,0.8951,0.94861,0.6464,1.11923,0.69015,1.18943,0.000974382,0.000974382,0.000974382
120,1365.29,1.27082,0.84827,1.22947,0.90247,0.87067,0.9481,0.64022,1.16368,0.64816,1.20263,0.000973224,0.000973224,0.000973224
121,1376.81,1.25289,0.82824,1.20111,0.90289,0.93392,0.95238,0.66867,1.09371,0.60741,1.16065,0.000972067,0.000972067,0.000972067
122,1388.37,1.23539,0.78668,1.21374,0.89846,0.94195,0.95829,0.68207,1.08759,0.61729,1.16274,0.000970909,0.000970909,0.000970909
123,1399.99,1.20649,0.77285,1.18767,0.85806,0.93744,0.96397,0.68638,1.05372,0.62631,1.15426,0.000969751,0.000969751,0.000969751
124,1411.27,1.24299,0.8255,1.23122,0.85665,0.89926,0.95016,0.65283,1.12376,0.67525,1.18266,0.000968593,0.000968593,0.000968593
125,1422.57,1.20581,0.7888,1.19174,0.8636,0.91016,0.95063,0.66077,1.10325,0.62507,1.16978,0.000967435,0.000967435,0.000967435
126,1434.23,1.23375,0.82991,1.2179,0.88604,0.89688,0.9566,0.67672,1.10431,0.6453,1.17845,0.000966278,0.000966278,0.000966278
127,1445.69,1.19777,0.82433,1.20474,0.87514,0.94202,0.95404,0.66429,1.09593,0.63241,1.15993,0.00096512,0.00096512,0.00096512
128,1457.15,1.2178,0.80909,1.20252,0.87929,0.94387,0.96427,0.69309,1.04676,0.59978,1.14468,0.000963962,0.000963962,0.000963962
129,1468.55,1.22006,0.778,1.1946,0.8497,0.95113,0.95953,0.6762,1.07936,0.62432,1.14949,0.000962804,0.000962804,0.000962804
130,1479.95,1.22782,0.78574,1.20928,0.87256,0.92339,0.95322,0.67565,1.09018,0.61927,1.15259,0.000961647,0.000961647,0.000961647
131,1491.49,1.17985,0.76086,1.18217,0.91476,0.90527,0.95896,0.68139,1.07931,0.60689,1.14988,0.000960489,0.000960489,0.000960489
132,1502.81,1.22034,0.77396,1.19575,0.90462,0.93153,0.96989,0.68871,1.08087,0.59943,1.15889,0.000959331,0.000959331,0.000959331
133,1513.97,1.21345,0.78212,1.2006,0.89207,0.91662,0.97001,0.69797,1.0818,0.63156,1.16129,0.000958173,0.000958173,0.000958173
134,1525.35,1.18365,0.76983,1.17912,0.92477,0.9342,0.96702,0.69365,1.05601,0.57676,1.13458,0.000957015,0.000957015,0.000957015
135,1536.49,1.15219,0.75461,1.15843,0.92707,0.9522,0.96814,0.71218,1.01402,0.5699,1.12613,0.000955858,0.000955858,0.000955858
136,1547.8,1.18109,0.77892,1.17766,0.90932,0.95102,0.97736,0.71902,1.00658,0.55268,1.11705,0.0009547,0.0009547,0.0009547
137,1559.14,1.15924,0.73256,1.16826,0.90785,0.93781,0.97784,0.7145,1.01402,0.5661,1.12948,0.000953542,0.000953542,0.000953542
138,1570.4,1.14322,0.74677,1.1463,0.89993,0.93641,0.96798,0.71127,1.01028,0.56647,1.11383,0.000952384,0.000952384,0.000952384
139,1583.08,1.14857,0.72366,1.16128,0.92705,0.96962,0.97706,0.73388,0.96354,0.53111,1.09707,0.000951227,0.000951227,0.000951227
140,1594.46,1.15278,0.7391,1.18298,0.90265,0.92349,0.96963,0.71296,1.00049,0.58993,1.12058,0.000950069,0.000950069,0.000950069
141,1605.77,1.16399,0.7638,1.17339,0.90333,0.93596,0.96886,0.70116,1.00185,0.56857,1.12064,0.000948911,0.000948911,0.000948911
142,1617.07,1.13424,0.75012,1.15796,0.93179,0.92813,0.97479,0.71007,1.00707,0.58815,1.12537,0.000947753,0.000947753,0.000947753
143,1628.4,1.14813,0.76823,1.19638,0.911,0.90668,0.96379,0.68518,1.07051,0.62138,1.14739,0.000946595,0.000946595,0.000946595
144,1639.82,1.13314,0.73145,1.16229,0.93377,0.92995,0.97738,0.73401,0.97369,0.55918,1.10274,0.000945438,0.000945438,0.000945438
145,1651.51,1.11571,0.7274,1.1375,0.93178,0.96807,0.98349,0.72757,0.99395,0.56685,1.10575,0.00094428,0.00094428,0.00094428
146,1663.59,1.13702,0.75192,1.16425,0.92001,0.96249,0.98162,0.71365,0.96483,0.55222,1.10203,0.000943122,0.000943122,0.000943122
